DATAFLOW,LAST UPDATE,freq,mot_nrg,vehicle,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2017,286,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2018,462,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2019,726,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2020,1314,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2021,2977,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2022,4802,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HR,2023,7059,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2014,175,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2015,342,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2016,758,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2017,1996,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2018,3839,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2019,6595,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2020,11012,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2021,18824,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2022,29839,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,HU,2023,41215,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2014,560,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2015,1120,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2016,1701,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2017,2770,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2018,4610,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2019,8590,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2020,12720,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2021,21440,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2022,36970,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IE,2023,58633,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2014,3440,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2015,4595,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2016,5754,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2017,7571,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2018,12167,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2019,22756,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2020,53114,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2021,118079,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2022,158187,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,IT,2023,219598,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2014,70,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2015,169,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2016,358,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2017,619,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2018,965,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2019,1395,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2020,2475,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2021,4831,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2022,7306,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LT,2023,11425,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2014,524,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2015,580,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2016,685,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2017,970,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2018,1338,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2019,2197,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2020,4034,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2021,7962,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2022,13913,s
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LU,2023,23271,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2014,188,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2015,211,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2016,241,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2017,312,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2018,442,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2019,658,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2020,1205,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2021,2106,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2022,3832,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,LV,2023,6369,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2014,87,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2015,136,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2016,140,
ESTAT:ROAD_EQS_ZEV(1.0),12/09/24 23:00:00,A,TOTAL,CAR,NR,MT,2017,189,
